id,district,sex,age,field_of_study,degree_level,grad_year,internship,digital_skills,english_self,family_prefers_public,willing_private,months_to_first_job,employed_now,sector,monthly_income_band
G001,Tutong,M,24,IT,Bachelor,2024,1,59,3,5,1,11.8,1,private,1500-1999
G002,Brunei-Muara,M,25,Business,Diploma,2025,1,45,1,5,1,7.9,1,private,1500-1999
G003,Brunei-Muara,F,29,Engineering,Bachelor,2024,,55,,4,2,8.8,1,private,3000+
G004,Brunei-Muara,F,27,Business,Master,2023,0,37,4,3,3,10.1,1,public,1500-1999
G005,Belait,M,24,Education,Bachelor,2021,1,13,3,3,1,6.0,1,self-employed,2000-2999
G006,Brunei-Muara,F,27,Business,Master,2023,1,75,5,5,2,5.9,1,private,3000+
G007,Brunei-Muara,F,26,IT,Bachelor,2021,0,80,4,3,1,2.6,1,private,2000-2999
G008,Belait,F,25,Education,Diploma,2022,0,75,2,4,3,4.7,1,private,1000-1499
G009,Brunei-Muara,M,21,Islamic Studies,Bachelor,2021,0,67,4,5,1,11.6,1,private,2000-2999
G010,Brunei-Muara,M,28,Business,Bachelor,2025,0,56,3,4,1,6.0,1,public,1000-1499
G011,Tutong,F,29,IT,Diploma,2024,1,57,4,2,2,1.3,1,public,under 1000
G012,Brunei-Muara,F,25,IT,Diploma,2024,0,62,4,4,2,4.0,1,self-employed,under 1000
G013,Brunei-Muara,M,23,Engineering,Master,2022,1,79,3,4,1,9.0,1,private,3000+
G014,Tutong,F,29,IT,Bachelor,2024,1,60,3,2,4,3.7,1,public,1500-1999
G015,Temburong,F,24,Business,Diploma,2022,,66,3,2,5,99,0,not employed,
G016,Belait,F,25,Health,Diploma,2021,0,78,5,5,1,9.9,1,self-employed,under 1000
G017,Brunei-Muara,F,25,Health,Diploma,2025,1,60,3,5,1,7.9,1,public,1500-1999
G018,Brunei-Muara,F,23,Education,Diploma,2021,0,64,2,3,3,2.0,1,public,under 1000
G019,Brunei-Muara,M,25,Health,Diploma,2024,1,65,5,3,2,3.4,1,public,1000-1499
G020,Brunei-Muara,F,25,Education,Diploma,2025,0,58,3,5,1,10.1,1,public,under 1000
G021,Brunei-Muara,F,26,Engineering,Diploma,2024,1,51,2,5,1,11.6,1,private,1000-1499
G022,Brunei-Muara,M,23,Engineering,Bachelor,2023,0,79,3,4,2,8.5,1,private,1000-1499
G023,Tutong,M,25,Social Sciences,Diploma,2023,1,57,4,4,1,8.7,1,public,1500-1999
G024,Brunei-Muara,F,24,Health,Diploma,2023,1,69,2,4,1,5.2,1,private,under 1000
G025,Brunei-Muara,M,21,IT,Diploma,2021,1,71,3,3,2,6.0,1,public,1500-1999
G026,Belait,M,27,Health,Bachelor,2022,1,41,3,4,1,4.3,1,private,2000-2999
G027,Belait,M,25,Islamic Studies,Bachelor,2025,0,76,5,5,1,11.8,1,private,3000+
G028,Belait,F,27,Islamic Studies,Bachelor,2022,0,52,3,2,3,5.4,1,public,3000+
G029,Brunei-Muara,M,23,Islamic Studies,Bachelor,2023,0,34,2,5,1,12.8,1,self-employed,1000-1499
G030,Brunei-Muara,F,26,Health,Bachelor,2021,0,53,4,2,3,7.5,1,public,1500-1999
G031,Tutong,M,30,IT,Master,2025,1,80,4,2,3,8.1,1,public,2000-2999
