project,date,category,vendor,amount,notes
Community Outreach,2026-07-03,Catering,Warisan Catering,B$1200,
Community Outreach,03/07/2026,Cathering,Warisan Catering,B$1200,duplicate?
Community Outreach,2026-07-05,Printing,Setia Print,340.00,
Community Outreach,7 July 2026,Transport,,B$ 480,driver not named
Youth Skills,2026-07-08,Venue hire,Block B Hall,BND 2,000.00,
Youth Skills,2026-07-08,Catering,Warisan Catering,1750,
Youth Skills,2026/07/12,Materials,Setia Print,B$ 96.50,
Youth Skills,2026-07-15,Catering,Nur Cafe,TBC,quote not received
Data Literacy,2026-07-16,Venue hire,Main Training Room,0,internal - no charge
Data Literacy,16/07/2026,Printing,Setia Print,1,205.00,
Data Literacy,2026-07-19,Transport,Sunrise Transport,B$620,
Data Literacy,2026-07-22,Catering,Warisan Catering,-450,refund - overcharge
Data Literacy,2026-07-22,Honorarium,External speaker,B$800 ,trailing space
Field Survey,2026-07-24,Transport,Sunrise Transport,B$620,
Field Survey,2026-07-24,Transport,Sunrise Transport,B$620,same day two trips?
Field Survey,2026-07-26,Materials,Setia Print,88,
Field Survey,2026-07-29,Allowances,enumerators x 6,B$1800,
Field Survey,31 Jul 2026,Catering,Nur Cafe,B$ 415.75,
