programme,month,seats,registered,attended,fees_status
Digital Skills for Frontline Staff,2026-01,25,18,16,Pending
Digital Skills for Frontline Staff,2026-02,25,17,12,Waived
Digital Skills for Frontline Staff,2026-03,25,15,14,Paid
Digital Skills for Frontline Staff,2026-04,25,21,19,Waived
Digital Skills for Frontline Staff,2026-05,25,21,18,Paid
Digital Skills for Frontline Staff,2026-06,25,17,14,Paid
Data Literacy Basics,2026-01,20,14,13,Paid
Data Literacy Basics,2026-02,20,12,11,Pending
Data Literacy Basics,2026-03,20,11,7,Waived
Data Literacy Basics,2026-04,20,11,10,Pending
Data Literacy Basics,2026-05,20,14,12,Pending
Data Literacy Basics,2026-06,20,9,6,Waived
Effective Minutes & Correspondence,2026-01,30,18,12,Pending
Effective Minutes & Correspondence,2026-02,30,22,16,Paid
Effective Minutes & Correspondence,2026-03,30,19,14,Paid
Effective Minutes & Correspondence,2026-04,30,26,19,Paid
Effective Minutes & Correspondence,2026-05,30,24,21,Waived
Effective Minutes & Correspondence,2026-06,30,19,17,Pending
Community Outreach Design,2026-01,20,12,9,Pending
Community Outreach Design,2026-02,20,10,7,Paid
Community Outreach Design,2026-03,20,12,11,Paid
Community Outreach Design,2026-04,20,15,10,Paid
Community Outreach Design,2026-05,20,10,7,Pending
Community Outreach Design,2026-06,20,11,8,Paid
Introduction to AI Tools,2026-01,30,26,23,Waived
Introduction to AI Tools,2026-02,30,20,15,Paid
Introduction to AI Tools,2026-03,30,21,20,Paid
Introduction to AI Tools,2026-04,30,23,17,Paid
Introduction to AI Tools,2026-05,30,24,19,Pending
Introduction to AI Tools,2026-06,30,21,15,Paid
Project Budgeting Essentials,2026-01,25,24,18,Paid
Project Budgeting Essentials,2026-02,25,19,15,Pending
Project Budgeting Essentials,2026-03,25,20,19,Waived
Project Budgeting Essentials,2026-04,25,21,15,Waived
Project Budgeting Essentials,2026-05,25,20,17,Paid
Project Budgeting Essentials,2026-06,25,24,19,Pending
Public Speaking in Malay & English,2026-01,20,12,10,Paid
Public Speaking in Malay & English,2026-02,20,14,11,Paid
Public Speaking in Malay & English,2026-03,20,13,12,Waived
Public Speaking in Malay & English,2026-04,20,12,10,Paid
Public Speaking in Malay & English,2026-05,20,12,11,Pending
Public Speaking in Malay & English,2026-06,20,16,12,Pending
Records & Filing Modernisation,2026-01,25,18,12,Paid
Records & Filing Modernisation,2026-02,25,20,15,Waived
Records & Filing Modernisation,2026-03,25,22,20,Pending
Records & Filing Modernisation,2026-04,25,19,15,Paid
Records & Filing Modernisation,2026-05,25,15,12,Paid
Records & Filing Modernisation,2026-06,25,14,11,Paid
